No.,標準特厚,種,杭種,typ,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y
257,特厚,,SC-700-特厚-105-9,SC,700,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
258,特厚,,SC-700-特厚-105-12,SC,700,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
259,特厚,,SC-700-特厚-105-14,SC,700,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
260,特厚,,SC-700-特厚-105-16,SC,700,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
261,特厚,,SC-700-特厚-105-19,SC,700,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,19,325,200000,0
262,特厚,,SC-700-特厚-105-22,SC,700,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,22,325,200000,0
263,標準,,SC-800-標準-80-6,SC,800,110,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
264,標準,,SC-800-標準-80-9,SC,800,110,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
265,標準,,SC-800-標準-80-12,SC,800,110,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
266,標準,,SC-800-標準-80-14,SC,800,110,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
267,標準,,SC-800-標準-80-16,SC,800,110,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
268,標準,,SC-800-標準-80-19,SC,800,110,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,19,325,200000,0
269,標準,,SC-800-標準-105-6,SC,800,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
270,標準,,SC-800-標準-105-9,SC,800,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
271,標準,,SC-800-標準-105-12,SC,800,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
272,標準,,SC-800-標準-105-14,SC,800,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
273,標準,,SC-800-標準-105-16,SC,800,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
274,標準,,SC-800-標準-105-19,SC,800,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,19,325,200000,0
275,標準,,SC-800-標準-105-22,SC,800,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,22,325,200000,0
276,標準,,SC-800-標準-105-25,SC,800,110,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,25,325,200000,0
277,特厚,,SC-800-特厚-105-6,SC,800,130,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
278,特厚,,SC-800-特厚-105-9,SC,800,130,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
279,特厚,,SC-800-特厚-105-12,SC,800,130,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
280,特厚,,SC-800-特厚-105-14,SC,800,130,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
281,特厚,,SC-800-特厚-105-16,SC,800,130,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
282,特厚,,SC-800-特厚-105-19,SC,800,130,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,19,325,200000,0
283,特厚,,SC-800-特厚-105-22,SC,800,130,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,22,325,200000,0
284,特厚,,SC-800-特厚-105-25,SC,800,130,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,25,325,200000,0
285,標準,,SC-900-標準-80-6,SC,900,120,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
286,標準,,SC-900-標準-80-9,SC,900,120,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
287,標準,,SC-900-標準-80-12,SC,900,120,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
288,標準,,SC-900-標準-80-14,SC,900,120,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
289,標準,,SC-900-標準-80-16,SC,900,120,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
290,標準,,SC-900-標準-80-19,SC,900,120,80,44,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,19,325,200000,0
291,標準,,SC-900-標準-105-6,SC,900,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
292,標準,,SC-900-標準-105-9,SC,900,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
293,標準,,SC-900-標準-105-12,SC,900,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
294,標準,,SC-900-標準-105-14,SC,900,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
295,標準,,SC-900-標準-105-16,SC,900,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
296,標準,,SC-900-標準-105-19,SC,900,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,19,325,200000,0
297,標準,,SC-900-標準-105-22,SC,900,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,22,325,200000,0
298,標準,,SC-900-標準-105-25,SC,900,120,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,25,325,200000,0
299,特厚,,SC-900-特厚-105-6,SC,900,140,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,6,325,200000,0
300,特厚,,SC-900-特厚-105-9,SC,900,140,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,9,325,200000,0
301,特厚,,SC-900-特厚-105-12,SC,900,140,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,12,325,200000,0
302,特厚,,SC-900-特厚-105-14,SC,900,140,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,14,325,200000,0
303,特厚,,SC-900-特厚-105-16,SC,900,140,105,60,0.0 ,0,40000 ,0,0,0,0,0,false,0,0,0,0,0,0,16,325,200000,0
