No.,標準特厚,種,杭種,typ,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y
78,標準,A,PHC-600-標準-105-A,PHC,600,90,105,60,2.0 ,4.0 ,40000 ,693,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
79,特厚,A,PHC-600-特厚-105-A,PHC,600,110,105,60,1.7 ,3.4 ,40000 ,693,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
80,標準,B,PHC-600-標準-105-B,PHC,600,90,105,60,4.0 ,8.0 ,40000 ,1408,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
81,特厚,B,PHC-600-特厚-105-B,PHC,600,110,105,60,3.4 ,6.8 ,40000 ,1408,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
82,標準,C,PHC-600-標準-105-C,PHC,600,90,105,60,5.0 ,10.0 ,40000 ,1884,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
83,特厚,C,PHC-600-特厚-105-C,PHC,600,110,105,60,4.3 ,8.5 ,40000 ,1884,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
84,標準,A,PHC-600-標準-123-A,PHC,600,90,123,70,2.0 ,4.0 ,42000 ,693,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
85,特厚,A,PHC-600-特厚-123-A,PHC,600,110,123,70,1.7 ,3.4 ,42000 ,693,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
86,標準,B,PHC-600-標準-123-B,PHC,600,90,123,70,4.0 ,8.0 ,42000 ,1408,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
87,特厚,B,PHC-600-特厚-123-B,PHC,600,110,123,70,3.4 ,6.8 ,42000 ,1408,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
88,標準,C,PHC-600-標準-123-C,PHC,600,90,123,70,5.0 ,10.0 ,42000 ,1884,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
89,特厚,C,PHC-600-特厚-123-C,PHC,600,110,123,70,4.3 ,8.5 ,42000 ,1884,520,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
90,標準,A,PHC-700-標準-80-A,PHC,700,100,80,44,2.0 ,4.0 ,40000 ,924,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
91,標準,B,PHC-700-標準-85-B,PHC,700,100,85,48,4.0 ,8.0 ,40000 ,1884,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
92,標準,C,PHC-700-標準-85-C,PHC,700,100,85,48,5.0 ,10.0 ,40000 ,2512,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
93,標準,A,PHC-700-標準-105-A,PHC,700,100,105,60,2.0 ,4.0 ,40000 ,924,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
94,特厚,A,PHC-700-特厚-105-A,PHC,700,120,105,60,1.8 ,3.5 ,40000 ,924,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
95,標準,B,PHC-700-標準-105-B,PHC,700,100,105,60,4.0 ,8.0 ,40000 ,1884,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
96,特厚,B,PHC-700-特厚-105-B,PHC,700,120,105,60,3.5 ,6.9 ,40000 ,1884,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
97,標準,C,PHC-700-標準-105-C,PHC,700,100,105,60,5.0 ,10.0 ,40000 ,2512,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
98,特厚,C,PHC-700-特厚-105-C,PHC,700,120,105,60,4.3 ,8.6 ,40000 ,2512,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
99,標準,A,PHC-700-標準-123-A,PHC,700,100,123,70,2.0 ,4.0 ,42000 ,924,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
100,特厚,A,PHC-700-特厚-123-A,PHC,700,120,123,70,1.8 ,3.5 ,42000 ,924,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
101,標準,B,PHC-700-標準-123-B,PHC,700,100,123,70,4.0 ,8.0 ,42000 ,1884,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
102,特厚,B,PHC-700-特厚-123-B,PHC,700,120,123,70,3.5 ,6.9 ,42000 ,1884,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
103,標準,C,PHC-700-標準-123-C,PHC,700,100,123,70,5.0 ,10.0 ,42000 ,2512,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
104,特厚,C,PHC-700-特厚-123-C,PHC,700,120,123,70,4.3 ,8.6 ,42000 ,2512,610,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
105,標準,A,PHC-800-標準-80-A,PHC,800,110,80,44,2.0 ,4.0 ,40000 ,1231,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
