Maker,Series,Shape,Name,Do,D,t,ThicknessType,Fc,PrestressType,PcDesignation,PcCount,Ap,PCD,BarDesignation,BarCount,Ag,BarPCD,Ao,Ae,So,SoFromSection,Io,Ie,Ze,SigmaCe,ShearBarStdDia490,ShearBarStdPitch490,ShearBarStdDia785,ShearBarStdPitch785,ShearBarHighDia785,ShearBarHighPitch785,Msc,Mal,Mas,Mu,Qal,QasStd10,QasStd15,QasStd20,QuStd10,QuStd15,QuStd20,QasHigh10,QasHigh15,QasHigh20,QuHigh10,QuHigh15,QuHigh20,Nal,PhcAe,PhcIe,PhcSigmaCe,PhcMc,PhcMu,PhcQas,PhcQu,PhcNal,Ec,Ftp,SigmaPu,Ep,BarFtu,BarFy,Er,BarAllowLong,BarAllowLongD29Up,BarAllowShort,FcAllowCompLong,FcAllowCompShort,PrcAllowDiagLong,PhcAllowDiagLong,PhcAllowDiagShort,PhcAllowBendTensLongFactor,PhcAllowBendTensShortFactor,MassPerM,NodePitch,HeadOffset,ToeOffset,Note
ジャパンパイル,JP-NPRC105,節杭,550-400,550.0,400.0,70.0,標準,105.0,Ⅲ,10.0,8,628.0,335.0,D19,8,2292.0,323.0,72600.0,84500.0,3869000.0,3868666.6666666665,1032300000.0,1191100000.0,5956000.0,6.0,5.5,55.0,5.0,70.0,5.0,55.0,70.9,103.8,169.9,250.5,127.0,260.0,195.0,160.0,390.0,292.0,240.0,271.0,205.0,171.0,406.0,308.0,256.0,2028.0,75100.0,1067600000.0,6.6,75.0,145.0,145.0,189.0,1757.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.247,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,500-400,500.0,400.0,70.0,標準,105.0,Ⅳ,10.0,8,628.0,335.0,D22,8,3097.0,320.0,72600.0,87900.0,3869000.0,3868666.6666666665,1032300000.0,1231500000.0,6157000.0,5.8,5.5,55.0,5.0,70.0,5.0,55.0,72.0,111.0,194.5,284.9,129.0,272.0,203.0,166.0,408.0,304.0,249.0,282.0,213.0,177.0,424.0,320.0,265.0,2127.0,75100.0,1067600000.0,6.6,75.0,145.0,145.0,189.0,1757.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.227,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,550-400,550.0,400.0,70.0,標準,105.0,Ⅳ,10.0,8,628.0,335.0,D22,8,3097.0,320.0,72600.0,87900.0,3869000.0,3868666.6666666665,1032300000.0,1231500000.0,6157000.0,5.8,5.5,55.0,5.0,70.0,5.0,55.0,72.0,111.0,194.5,284.9,129.0,272.0,203.0,166.0,408.0,304.0,249.0,282.0,213.0,177.0,424.0,320.0,265.0,2127.0,75100.0,1067600000.0,6.6,75.0,145.0,145.0,189.0,1757.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.247,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,500-400,500.0,400.0,80.0,特厚,105.0,Ⅰ,10.0,8,628.0,335.0,D13,8,1014.0,331.0,80400.0,87100.0,4181000.0,4181333.3333333335,1093800000.0,1186400000.0,5932000.0,5.8,5.5,55.0,5.0,70.0,5.0,55.0,70.0,94.1,129.1,193.3,132.0,242.0,182.0,151.0,363.0,273.0,226.0,252.0,193.0,161.0,379.0,289.0,241.0,2108.0,82900.0,1129000000.0,6.1,77.0,145.0,158.0,206.0,1981.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.247,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,550-400,550.0,400.0,80.0,特厚,105.0,Ⅰ,10.0,8,628.0,335.0,D13,8,1014.0,331.0,80400.0,87100.0,4181000.0,4181333.3333333335,1093800000.0,1186400000.0,5932000.0,5.8,5.5,55.0,5.0,70.0,5.0,55.0,70.0,94.1,129.1,193.3,132.0,242.0,182.0,151.0,363.0,273.0,226.0,252.0,193.0,161.0,379.0,289.0,241.0,2108.0,82900.0,1129000000.0,6.1,77.0,145.0,158.0,206.0,1981.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.267,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,500-400,500.0,400.0,80.0,特厚,105.0,Ⅱ,10.0,8,628.0,335.0,D16,8,1589.0,327.0,80400.0,89500.0,4181000.0,4181333.3333333335,1093800000.0,1216800000.0,6084000.0,5.7,5.5,55.0,5.0,70.0,5.0,55.0,71.2,100.6,147.9,219.5,134.0,256.0,191.0,158.0,383.0,287.0,236.0,266.0,202.0,168.0,399.0,303.0,252.0,2175.0,82900.0,1129000000.0,6.1,77.0,145.0,158.0,206.0,1981.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.247,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,550-400,550.0,400.0,80.0,特厚,105.0,Ⅱ,10.0,8,628.0,335.0,D16,8,1589.0,327.0,80400.0,89500.0,4181000.0,4181333.3333333335,1093800000.0,1216800000.0,6084000.0,5.7,5.5,55.0,5.0,70.0,5.0,55.0,71.2,100.6,147.9,219.5,134.0,256.0,191.0,158.0,383.0,287.0,236.0,266.0,202.0,168.0,399.0,303.0,252.0,2175.0,82900.0,1129000000.0,6.1,77.0,145.0,158.0,206.0,1981.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.267,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,500-400,500.0,400.0,80.0,特厚,105.0,Ⅲ,10.0,8,628.0,335.0,D19,8,2292.0,323.0,80400.0,92400.0,4181000.0,4181333.3333333335,1093800000.0,1252600000.0,6263000.0,5.5,5.5,55.0,5.0,70.0,5.0,55.0,72.0,107.6,169.6,250.5,136.0,269.0,200.0,164.0,403.0,300.0,246.0,279.0,211.0,175.0,419.0,316.0,262.0,2264.0,82900.0,1129000000.0,6.1,77.0,145.0,158.0,206.0,1981.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.247,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,550-400,550.0,400.0,80.0,特厚,105.0,Ⅲ,10.0,8,628.0,335.0,D19,8,2292.0,323.0,80400.0,92400.0,4181000.0,4181333.3333333335,1093800000.0,1252600000.0,6263000.0,5.5,5.5,55.0,5.0,70.0,5.0,55.0,72.0,107.6,169.6,250.5,136.0,269.0,200.0,164.0,403.0,300.0,246.0,279.0,211.0,175.0,419.0,316.0,262.0,2264.0,82900.0,1129000000.0,6.1,77.0,145.0,158.0,206.0,1981.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.267,1000.0,600.0,400.0,
ジャパンパイル,JP-NPRC105,節杭,500-400,500.0,400.0,80.0,特厚,105.0,Ⅳ,10.0,8,628.0,335.0,D22,8,3097.0,320.0,80400.0,95700.0,4181000.0,4181333.3333333335,1093800000.0,1292900000.0,6465000.0,5.4,5.5,55.0,5.0,70.0,5.0,55.0,73.7,115.3,195.0,285.2,139.0,281.0,209.0,171.0,422.0,313.0,256.0,291.0,219.0,181.0,437.0,329.0,272.0,2354.0,82900.0,1129000000.0,6.1,77.0,145.0,158.0,206.0,1981.0,40000.0,1275.0,1420.0,200000.0,490.0,345.0,205000.0,215.0,195.0,345.0,30.0,60.0,1.2,1.2,1.8,0.25,0.5,0.247,1000.0,600.0,400.0,
