No.,標準特厚,種,typ,杭種,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y,CatalogAo,CatalogAe,CatalogIe,CatalogMal,CatalogMas,CatalogMcr,CatalogMu,CatalogQal,CatalogQas,CatalogQcr,CatalogNal,PcDesignation,PcCount
1044,厚型,A,MS-hi105-700-厚型-A,PHC,700,120,105,60,2.00,4.0,40000,1024,600,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,218700,222800,9772340000,139.0,167.0,307.0,422.0,280.0,363.0,484.0,5792.0,9.0,16
1045,特厚型,A,MS-hi105-700-特厚型-A,PHC,700,140,105,60,2.00,4.0,40000,1256,600,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,246300,251300,10484500000,149.0,179.0,329.0,510.0,320.0,414.0,552.0,6534.0,10.0,16
1046,標準型,B,MS-hi105-700-標準型-B,PHC,700,100,105,60,4.00,8.0,40000,2041,600,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,188500,196700,9085290000,259.0,311.0,389.0,805.0,318.0,403.0,521.0,4327.0,10.0,26
1047,厚型,B,MS-hi105-700-厚型-B,PHC,700,120,105,60,3.90,7.8,40000,2041,600,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,218700,226800,9955400000,276.0,332.0,420.0,803.0,368.0,466.0,604.0,5041.0,10.0,26
1048,特厚型,B,MS-hi105-700-特厚型-B,PHC,700,140,105,60,4.00,8.0,40000,2600,600,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,246300,256700,10726420000,306.0,367.0,459.0,1002.0,425.0,538.0,696.0,5647.0,11.2,26
1049,標準型,C,MS-hi105-700-標準型-C,PHC,700,100,105,60,5.00,10.0,40000,2600,600,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,188500,198900,9185910000,328.0,393.0,446.0,1010.0,351.0,442.0,568.0,3978.0,11.2,26
1050,厚型,C,MS-hi105-700-厚型-C,PHC,700,120,105,60,4.85,9.7,40000,2600,600,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,218700,229100,10056020000,348.0,417.0,479.0,1006.0,406.0,511.0,657.0,4651.0,11.2,26
1051,特厚型,C,MS-hi105-700-特厚型-C,PHC,700,140,105,60,5.00,10.0,40000,3250,600,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,246300,259300,10843420000,387.0,464.0,526.0,1221.0,469.0,590.0,758.0,5186.0,12.6,26
1052,標準型,A,MS-hi105-800-標準型-A,PHC,800,110,105,60,2.00,4.0,40000,1280,690,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,238400,243600,14855910000,185.0,222.0,408.0,603.0,302.0,391.0,522.0,6332.0,9.0,20
1053,厚型,A,MS-hi105-800-厚型-A,PHC,800,130,105,60,2.00,4.0,40000,1280,690,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,273600,278800,16236970000,202.0,243.0,446.0,604.0,350.0,453.0,604.0,7248.0,9.0,20
